source,team_slug,team_name,name,slug,position,club,date_of_birth,nationality,source_url,matched_player_id,matched_player_name,match_confidence,status,notes
Wikipedia,mexico,Mexico,Kevin Castañeda,kevin-castaneda,MF,Tijuana,"( 1999-10-28 ) October 28, 1999 (aged 26)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Kevin Castañeda | ( 1999-10-28 ) October 28, 1999 (aged 26) | 2 | 0 | Tijuana"
Wikipedia,mexico,Mexico,Álvaro Fidalgo,alvaro-fidalgo,MF,Real Betis,"( 1997-04-09 ) April 9, 1997 (aged 29)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Álvaro Fidalgo | ( 1997-04-09 ) April 9, 1997 (aged 29) | 2 | 0 | Real Betis"
Wikipedia,mexico,Mexico,Jorge Ruvalcaba,jorge-ruvalcaba,MF,New York Red Bulls,"( 2001-07-23 ) July 23, 2001 (aged 24)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Jorge Ruvalcaba | ( 2001-07-23 ) July 23, 2001 (aged 24) | 1 | 0 | New York Red Bulls"
Wikipedia,mexico,Mexico,Alexéi Domínguez,alexei-dominguez,MF,Pachuca,"( 2005-01-03 ) January 3, 2005 (aged 21)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Alexéi Domínguez | ( 2005-01-03 ) January 3, 2005 (aged 21) | 0 | 0 | Pachuca"
Wikipedia,mexico,Mexico,Jeremy Márquez,jeremy-marquez,MF,Cruz Azul,"( 2000-06-21 ) June 21, 2000 (aged 25)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Jeremy Márquez | ( 2000-06-21 ) June 21, 2000 (aged 25) | 0 | 0 | Cruz Azul"
Wikipedia,mexico,Mexico,Elías Montiel,elias-montiel,MF,Pachuca,"( 2005-10-07 ) October 7, 2005 (aged 20)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Elías Montiel | ( 2005-10-07 ) October 7, 2005 (aged 20) | 0 | 0 | Pachuca"
Wikipedia,mexico,Mexico,Isaías Violante,isaias-violante,MF,América,"( 2003-10-20 ) October 20, 2003 (aged 22)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Isaías Violante | ( 2003-10-20 ) October 20, 2003 (aged 22) | 0 | 0 | América"
Wikipedia,mexico,Mexico,Raúl Jiménez,raul-jimenez,FW,Fulham,"( 1991-05-05 ) May 5, 1991 (aged 35)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2847,RAUL JIMENEZ,99,matched_pending_review,"raw= | 4 FW | Raúl Jiménez | ( 1991-05-05 ) May 5, 1991 (aged 35) | 123 | 44 | Fulham"
Wikipedia,mexico,Mexico,Alexis Vega,alexis-vega,FW,Toluca,"( 1997-11-25 ) November 25, 1997 (aged 28)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2886,ALEXIS VEGA,99,matched_pending_review,"raw= | 4 FW | Alexis Vega | ( 1997-11-25 ) November 25, 1997 (aged 28) | 49 | 7 | Toluca"
Wikipedia,mexico,Mexico,Santiago Giménez,santiago-gimenez,FW,Milan,"( 2001-04-18 ) April 18, 2001 (aged 25)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2851,SANTIAGO GIMENEZ,99,matched_pending_review,"raw= | 4 FW | Santiago Giménez | ( 2001-04-18 ) April 18, 2001 (aged 25) | 46 | 6 | Milan"
Wikipedia,mexico,Mexico,César Huerta,cesar-huerta,FW,Anderlecht,"( 2000-12-03 ) December 3, 2000 (aged 25)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2890,CESAR HUERTA,99,matched_pending_review,"raw= | 4 FW | César Huerta | ( 2000-12-03 ) December 3, 2000 (aged 25) | 25 | 3 | Anderlecht"
Wikipedia,mexico,Mexico,Julián Quiñones,julian-quinones,FW,Al-Qadsiah,"( 1997-03-24 ) March 24, 1997 (aged 29)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 4 FW | Julián Quiñones | ( 1997-03-24 ) March 24, 1997 (aged 29) | 20 | 2 | Al-Qadsiah"
Wikipedia,mexico,Mexico,Germán Berterame,german-berterame,FW,Inter Miami CF,"( 1998-11-13 ) November 13, 1998 (aged 27)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 4 FW | Germán Berterame | ( 1998-11-13 ) November 13, 1998 (aged 27) | 9 | 2 | Inter Miami CF"
Wikipedia,mexico,Mexico,Guillermo Martínez,guillermo-martinez,FW,UNAM,"( 1995-03-15 ) March 15, 1995 (aged 31)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 4 FW | Guillermo Martínez | ( 1995-03-15 ) March 15, 1995 (aged 31) | 9 | 2 | UNAM"
Wikipedia,mexico,Mexico,Armando González,armando-gonzalez,FW,Guadalajara,"( 2003-04-20 ) April 20, 2003 (aged 23)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 4 FW | Armando González | ( 2003-04-20 ) April 20, 2003 (aged 23) | 6 | 1 | Guadalajara"
Wikipedia,south-korea,South Korea,Kim Seung-gyu,kim-seung-gyu,GK,FC Tokyo,"( 1990-09-30 ) September 30, 1990 (aged 35)",South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 1 GK | Kim Seung-gyu | ( 1990-09-30 ) September 30, 1990 (aged 35) | 85 | 0 | FC Tokyo"
