team_slug,player_slug,player_name,wikidata_id,commons_file,image_url,license,attribution,local_path,storage_path,status,notes
qatar,salah-zakaria,Salah Zakaria,,,,,,,,no_image,
qatar,mahmud-abunada,Mahmud Abunada,,,,,,,,no_image,
qatar,shehab-ellethy,Shehab Ellethy,,,,,,,,no_image,
qatar,boualem-khoukhi,Boualem Khoukhi,,,,,,,,no_image,
qatar,pedro-miguel,Pedro Miguel,,,,,,,,no_image,
qatar,tarek-salman,Tarek Salman,,,,,,,,no_image,
qatar,bassam-al-rawi,Bassam Al-Rawi,,,,,,,,no_image,
qatar,homam-ahmed,Homam Ahmed,,,,,,,,no_image,
qatar,lucas-mendes,Lucas Mendes,,,,,,,,no_image,
qatar,sultan-al-brake,Sultan Al-Brake,,,,,,,,no_image,
qatar,al-hashmi-al-hussain,Al-Hashmi Al-Hussain,,,,,,,,no_image,
qatar,ayoub-al-oui,Ayoub Al-Oui,,,,,,,,no_image,
qatar,issa-laye,Issa Laye,,,,,,,,no_image,
qatar,rayyan-al-ali,Rayyan Al-Ali,,,,,,,,no_image,
qatar,niall-mason,Niall Mason,,,,,,,,no_image,
qatar,abdulaziz-hatem,Abdulaziz Hatem,,,,,,,,no_image,
qatar,karim-boudiaf,Karim Boudiaf,,,,,,,,no_image,
qatar,assim-madibo,Assim Madibo,,,,,,,,no_image,
qatar,mohammed-waad,Mohammed Waad,,,,,,,,no_image,
qatar,ahmed-fathy,Ahmed Fathy,,,,,,,,no_image,
qatar,jassem-gaber,Jassem Gaber,,,,,,,,no_image,
qatar,mohamed-al-mannai,Mohamed Al-Mannai,,,,,,,,no_image,
qatar,tahsin-jamshid,Tahsin Jamshid,,,,,,,,no_image,
qatar,hassan-al-haydos-captain,Hassan Al-Haydos ( captain ),,,,,,,,no_image,
qatar,sebastian-soria,Sebastián Soria,,,,,,,,no_image,
qatar,akram-afif,Akram Afif,,,,,,,,no_image,
qatar,almoez-ali,Almoez Ali,,,,,,,,no_image,
qatar,mohammed-muntari,Mohammed Muntari,,,,,,,,no_image,
qatar,ahmed-alaaeldin,Ahmed Alaaeldin,,,,,,,,no_image,
qatar,yusuf-abdurisag,Yusuf Abdurisag,,,,,,,,no_image,
qatar,edmilson-junior,Edmilson Junior,,,,,,,,no_image,
qatar,ahmed-al-ganehi,Ahmed Al-Ganehi,,,,,,,,no_image,
qatar,mubarak-shanan,Mubarak Shanan,,,,,,,,no_image,
brazil,alisson,Alisson,,,,,,,,no_image,
brazil,ederson,Ederson,,,,,,,,no_image,
brazil,bento,Bento,,,,,,,,no_image,
brazil,hugo-souza,Hugo Souza,,,,,,,,no_image,
brazil,weverton,Weverton,,,,,,,,no_image,
brazil,john-victor,John Victor,,,,,,,,no_image,
brazil,thiago-silva,Thiago Silva,,,,,,,,no_image,
brazil,marquinhos,Marquinhos,,,,,,,,no_image,
brazil,danilo-luiz,Danilo Luiz,,,,,,,,no_image,
brazil,alex-sandro,Alex Sandro,,,,,,,,no_image,
brazil,gabriel-magalhaes,Gabriel Magalhães,,,,,,,,no_image,
brazil,bremer,Bremer,,,,,,,,no_image,
brazil,fabricio-bruno,Fabrício Bruno,,,,,,,,no_image,
brazil,wesley,Wesley,,,,,,,,no_image,
brazil,roger-ibanez,Roger Ibañez,,,,,,,,no_image,
brazil,douglas-santos,Douglas Santos,,,,,,,,no_image,
brazil,carlos-augusto,Carlos Augusto,,,,,,,,no_image,
brazil,alexsandro,Alexsandro,,,,,,,,no_image,
brazil,paulo-henrique,Paulo Henrique,,,,,,,,no_image,
brazil,leo-ortiz,Léo Ortiz,,,,,,,,no_image,
brazil,leo-pereira,Léo Pereira,,,,,,,,no_image,
brazil,vitinho,Vitinho,,,,,,,,no_image,
brazil,kaiki,Kaiki,,,,,,,,no_image,
brazil,luciano-juba,Luciano Juba,,,,,,,,no_image,
brazil,vitor-reis,Vitor Reis,,,,,,,,no_image,
brazil,casemiro-captain,Casemiro ( captain ),,,,,,,,no_image,
brazil,lucas-paqueta,Lucas Paquetá,,,,,,,,no_image,
brazil,bruno-guimaraes,Bruno Guimarães,,,,,,,,no_image,
brazil,fabinho,Fabinho,,,,,,,,no_image,
brazil,gerson,Gerson,,,,,,,,no_image,
brazil,andreas-pereira,Andreas Pereira,,,,,,,,no_image,
brazil,joao-gomes,João Gomes,,,,,,,,no_image,
brazil,andrey-santos,Andrey Santos,,,,,,,,no_image,
brazil,danilo-santos,Danilo Santos,,,,,,,,no_image,
brazil,matheus-pereira,Matheus Pereira,,,,,,,,no_image,
brazil,gabriel-sara,Gabriel Sara,,,,,,,,no_image,
brazil,neymar,Neymar,,,,,,,,no_image,
brazil,gabriel-jesus,Gabriel Jesus,,,,,,,,no_image,
brazil,richarlison,Richarlison,,,,,,,,no_image,
brazil,vinicius-junior,Vinícius Júnior,,,,,,,,no_image,
brazil,raphinha,Raphinha,,,,,,,,no_image,
brazil,gabriel-martinelli,Gabriel Martinelli,,,,,,,,no_image,
brazil,matheus-cunha,Matheus Cunha,,,,,,,,no_image,
brazil,antony,Antony,,,,,,,,no_image,
brazil,endrick,Endrick,,,,,,,,no_image,
brazil,luiz-henrique,Luiz Henrique,,,,,,,,no_image,
brazil,savinho,Savinho,,,,,,,,no_image,
brazil,joao-pedro,João Pedro,,,,,,,,no_image,
brazil,pedro,Pedro,,,,,,,,no_image,
brazil,igor-jesus,Igor Jesus,,,,,,,,no_image,
brazil,igor-thiago,Igor Thiago,,,,,,,,no_image,
brazil,kaio-jorge,Kaio Jorge,,,,,,,,no_image,
brazil,samuel-lino,Samuel Lino,,,,,,,,no_image,
brazil,rayan,Rayan,,,,,,,,no_image,
haiti,johny-placide-captain,Johny Placide ( captain ),,,,,,,,no_image,
haiti,alexandre-pierre,Alexandre Pierre,,,,,,,,no_image,
haiti,josue-duverger,Josué Duverger,,,,,,,,no_image,
haiti,ricardo-ade,Ricardo Adé,,,,,,,,no_image,
haiti,carlens-arcus,Carlens Arcus,,,,,,,,no_image,
haiti,martin-experience,Martin Expérience,,,,,,,,no_image,
haiti,jean-kevin-duverne,Jean-Kévin Duverne,,,,,,,,no_image,
haiti,duke-lacroix,Duke Lacroix,,,,,,,,no_image,
haiti,wilguens-paugain,Wilguens Paugain,,,,,,,,no_image,
haiti,hannes-delcroix,Hannes Delcroix,,,,,,,,no_image,
haiti,keeto-thermoncy,Keeto Thermoncy,,,,,,,,no_image,
haiti,leverton-pierre,Leverton Pierre,,,,,,,,no_image,
haiti,danley-jean-jacques,Danley Jean Jacques,,,,,,,,no_image,
haiti,carl-sainte,Carl Sainté,,,,,,,,no_image,
haiti,jean-ricner-bellegarde,Jean-Ricner Bellegarde,,,,,,,,no_image,
haiti,woodensky-pierre,Woodensky Pierre,,,,,,,,no_image,
haiti,dominique-simon,Dominique Simon,,,,,,,,no_image,
haiti,duckens-nazon,Duckens Nazon,,,,,,,,no_image,
haiti,frantzdy-pierrot,Frantzdy Pierrot,,,,,,,,no_image,
haiti,derrick-etienne-jr,Derrick Etienne Jr.,,,,,,,,no_image,
haiti,louicius-deedson,Louicius Deedson,,,,,,,,no_image,
haiti,ruben-providence,Ruben Providence,,,,,,,,no_image,
haiti,josue-casimir,Josué Casimir,,,,,,,,no_image,
haiti,yassin-fortune,Yassin Fortuné,,,,,,,,no_image,
haiti,wilson-isidor,Wilson Isidor,,,,,,,,no_image,
haiti,lenny-joseph,Lenny Joseph,,,,,,,,no_image,
paraguay,gatito-fernandez,Gatito Fernández,,,,,,,,no_image,
paraguay,carlos-coronel,Carlos Coronel,,,,,,,,no_image,
paraguay,orlando-gill,Orlando Gill,,,,,,,,no_image,
paraguay,santiago-rojas,Santiago Rojas,,,,,,,,no_image,
paraguay,juan-espinola,Juan Espínola,,,,,,,,no_image,
paraguay,gaston-olveira,Gastón Olveira,,,,,,,,no_image,
paraguay,gustavo-gomez-captain,Gustavo Gómez ( captain ),,,,,,,,no_image,
paraguay,junior-alonso,Júnior Alonso,,,,,,,,no_image,
paraguay,fabian-balbuena,Fabián Balbuena,,,,,,,,no_image,
paraguay,omar-alderete,Omar Alderete,,,,,,,,no_image,
paraguay,juan-jose-caceres,Juan José Cáceres,,,,,,,,no_image,
paraguay,blas-riveros,Blas Riveros,,,,,,,,no_image,
paraguay,gustavo-velazquez,Gustavo Velázquez,,,,,,,,no_image,
paraguay,alan-benitez,Alan Benítez,,,,,,,,no_image,
paraguay,agustin-sandez,Agustín Sández,,,,,,,,no_image,
paraguay,mateo-gamarra,Mateo Gamarra,,,,,,,,no_image,
paraguay,saul-salcedo,Saúl Salcedo,,,,,,,,no_image,
paraguay,jose-canale,José Canale,,,,,,,,no_image,
paraguay,diego-leon,Diego León,,,,,,,,no_image,
paraguay,alexandro-maidana,Alexandro Maidana,,,,,,,,no_image,
paraguay,alcides-benitez,Alcides Benítez,,,,,,,,no_image,
paraguay,ronaldo-dejesus,Ronaldo Dejesús,,,,,,,,no_image,
paraguay,alan-nunez,Alan Núñez,,,,,,,,no_image,
paraguay,miguel-almiron,Miguel Almirón,,,,,,,,no_image,
paraguay,mathias-villasanti,Mathías Villasanti,,,,,,,,no_image,
paraguay,kaku,Kaku,,,,,,,,no_image,
paraguay,andres-cubas,Andrés Cubas,,,,,,,,no_image,
paraguay,ramon-sosa,Ramón Sosa,,,,,,,,no_image,
paraguay,diego-gomez,Diego Gómez,,,,,,,,no_image,
paraguay,damian-bobadilla,Damián Bobadilla,,,,,,,,no_image,
paraguay,braian-ojeda,Braian Ojeda,,,,,,,,no_image,
paraguay,matias-galarza,Matías Galarza,,,,,,,,no_image,
paraguay,robert-piris-da-motta,Robert Piris Da Motta,,,,,,,,no_image,
paraguay,alvaro-campuzano,Álvaro Campuzano,,,,,,,,no_image,
paraguay,diego-gonzalez,Diego González,,,,,,,,no_image,
paraguay,hugo-cuenca,Hugo Cuenca,,,,,,,,no_image,
paraguay,mauricio,Maurício,,,,,,,,no_image,
paraguay,lucas-romero,Lucas Romero,,,,,,,,no_image,
paraguay,enso-gonzalez,Enso González,,,,,,,,no_image,
paraguay,ruben-lezcano,Rubén Lezcano,,,,,,,,no_image,
paraguay,oscar-romero,Óscar Romero,,,,,,,,no_image,
paraguay,angel-romero,Ángel Romero,,,,,,,,no_image,
paraguay,antonio-sanabria,Antonio Sanabria,,,,,,,,no_image,
paraguay,julio-enciso,Julio Enciso,,,,,,,,no_image,
paraguay,gabriel-avalos,Gabriel Ávalos,,,,,,,,no_image,
paraguay,carlos-gonzalez,Carlos González,,,,,,,,no_image,
paraguay,alex-arce,Álex Arce,,,,,,,,no_image,
paraguay,adam-bareiro,Adam Bareiro,,,,,,,,no_image,
paraguay,lorenzo-melgarejo,Lorenzo Melgarejo,,,,,,,,no_image,
paraguay,isidro-pitta,Isidro Pitta,,,,,,,,no_image,
paraguay,ronaldo-martinez,Ronaldo Martínez,,,,,,,,no_image,
paraguay,gustavo-caballero,Gustavo Caballero,,,,,,,,no_image,
paraguay,robert-morales,Robert Morales,,,,,,,,no_image,
paraguay,adrian-alcaraz,Adrián Alcaraz,,,,,,,,no_image,
paraguay,rodney-redes,Rodney Redes,,,,,,,,no_image,
ivory-coast,yahia-fofana,Yahia Fofana,,,,,,,,no_image,
ivory-coast,alban-lafont,Alban Lafont,,,,,,,,no_image,
ivory-coast,mohamed-kone,Mohamed Koné,,,,,,,,no_image,
ivory-coast,ghislain-konan,Ghislain Konan,,,,,,,,no_image,
ivory-coast,odilon-kossounou,Odilon Kossounou,,,,,,,,no_image,
ivory-coast,wilfried-singo,Wilfried Singo,,,,,,,,no_image,
ivory-coast,evan-ndicka,Evan Ndicka,,,,,,,,no_image,
ivory-coast,emmanuel-agbadou,Emmanuel Agbadou,,,,,,,,no_image,
ivory-coast,guela-doue,Guéla Doué,,,,,,,,no_image,
ivory-coast,ousmane-diomande,Ousmane Diomande,,,,,,,,no_image,
ivory-coast,clement-akpa,Clément Akpa,,,,,,,,no_image,
ivory-coast,franck-kessie-captain,Franck Kessié ( captain ),,,,,,,,no_image,
ivory-coast,jean-michael-seri,Jean Michaël Seri,,,,,,,,no_image,
ivory-coast,ibrahim-sangare,Ibrahim Sangaré,,,,,,,,no_image,
ivory-coast,seko-fofana,Seko Fofana,,,,,,,,no_image,
ivory-coast,christ-inao-oulai,Christ Inao Oulaï,,,,,,,,no_image,
ivory-coast,parfait-guiagon,Parfait Guiagon,,,,,,,,no_image,
ivory-coast,nicolas-pepe,Nicolas Pépé,,,,,,,,no_image,
ivory-coast,oumar-diakite,Oumar Diakité,,,,,,,,no_image,
ivory-coast,simon-adingra,Simon Adingra,,,,,,,,no_image,
ivory-coast,evann-guessand,Evann Guessand,,,,,,,,no_image,
ivory-coast,amad-diallo,Amad Diallo,,,,,,,,no_image,
ivory-coast,yan-diomande,Yan Diomande,,,,,,,,no_image,
ivory-coast,bazoumana-toure,Bazoumana Touré,,,,,,,,no_image,
ivory-coast,elye-wahi,Elye Wahi,,,,,,,,no_image,
ivory-coast,ange-yoan-bonny,Ange-Yoan Bonny,,,,,,,,no_image,
japan,zion-suzuki,Zion Suzuki,,,,,,,,no_image,
japan,keisuke-osako,Keisuke Ōsako,,,,,,,,no_image,
japan,tomoki-hayakawa,Tomoki Hayakawa,,,,,,,,no_image,
japan,yuto-nagatomo,Yūto Nagatomo,,,,,,,,no_image,
japan,takehiro-tomiyasu,Takehiro Tomiyasu,,,,,,,,no_image,
japan,ko-itakura,Kō Itakura,,,,,,,,no_image,
japan,shogo-taniguchi,Shōgo Taniguchi,,,,,,,,no_image,
japan,hiroki-ito,Hiroki Itō,,,,,,,,no_image,
japan,yukinari-sugawara,Yukinari Sugawara,,,,,,,,no_image,
japan,ayumu-seko,Ayumu Seko,,,,,,,,no_image,
japan,tsuyoshi-watanabe,Tsuyoshi Watanabe,,,,,,,,no_image,
japan,junnosuke-suzuki,Junnosuke Suzuki,,,,,,,,no_image,
japan,wataru-endo-captain,Wataru Endo ( captain ),,,,,,,,no_image,
japan,junya-ito,Junya Itō,,,,,,,,no_image,
japan,ritsu-doan,Ritsu Dōan,,,,,,,,no_image,
japan,daichi-kamada,Daichi Kamada,,,,,,,,no_image,
japan,takefusa-kubo,Takefusa Kubo,,,,,,,,no_image,
japan,ao-tanaka,Ao Tanaka,,,,,,,,no_image,
japan,keito-nakamura,Keito Nakamura,,,,,,,,no_image,
japan,kaishu-sano,Kaishū Sano,,,,,,,,no_image,
japan,ayase-ueda,Ayase Ueda,,,,,,,,no_image,
japan,daizen-maeda,Daizen Maeda,,,,,,,,no_image,
japan,koki-ogawa,Kōki Ogawa,,,,,,,,no_image,
japan,yuito-suzuki,Yuito Suzuki,,,,,,,,no_image,
japan,keisuke-goto,Keisuke Gotō,,,,,,,,no_image,
japan,kento-shiogai,Kento Shiogai,,,,,,,,no_image,
sweden,1989-06-23-june-23-1989-aged-36,"( 1989-06-23 ) June 23, 1989 (aged 36)",,,,,,,,no_image,
sweden,viktor-johansson,Viktor Johansson,,,,,,,,no_image,
sweden,jacob-widell-zetterstrom,Jacob Widell Zetterström,,,,,,,,no_image,
sweden,victor-lindelof-captain,Victor Lindelöf ( captain ),,,,,,,,no_image,
sweden,isak-hien,Isak Hien,,,,,,,,no_image,
sweden,gabriel-gudmundsson,Gabriel Gudmundsson,,,,,,,,no_image,
sweden,carl-starfelt,Carl Starfelt,,,,,,,,no_image,
sweden,emil-holm,Emil Holm,,,,,,,,no_image,
sweden,hjalmar-ekdal,Hjalmar Ekdal,,,,,,,,no_image,
sweden,daniel-svensson,Daniel Svensson,,,,,,,,no_image,
sweden,gustaf-lagerbielke,Gustaf Lagerbielke,,,,,,,,no_image,
sweden,eric-smith,Eric Smith,,,,,,,,no_image,
sweden,elliot-stroud,Elliot Stroud,,,,,,,,no_image,
sweden,mattias-svanberg,Mattias Svanberg,,,,,,,,no_image,
sweden,jesper-karlstrom,Jesper Karlström,,,,,,,,no_image,
sweden,yasin-ayari,Yasin Ayari,,,,,,,,no_image,
sweden,lucas-bergvall,Lucas Bergvall,,,,,,,,no_image,
sweden,besfort-zeneli,Besfort Zeneli,,,,,,,,no_image,
sweden,alexander-isak,Alexander Isak,,,,,,,,no_image,
sweden,viktor-gyokeres,Viktor Gyökeres,,,,,,,,no_image,
sweden,ken-sema,Ken Sema,,,,,,,,no_image,
sweden,anthony-elanga,Anthony Elanga,,,,,,,,no_image,
sweden,benjamin-nygren,Benjamin Nygren,,,,,,,,no_image,
