id,team_id,team_slug,name,slug,position,club,nationality,source_url,status,reason,action
3953,41,qatar,Yusuf Abdurisag,yusuf-abdurisag,FW,Al-Wakrah,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3955,41,qatar,Ahmed Al-Ganehi,ahmed-al-ganehi,FW,Al-Gharafa,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3890,54,south-korea,Lee Dong-gyeong,lee-dong-gyeong,MF,Ulsan HD,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3892,54,south-korea,Eom Ji-sung,eom-ji-sung,MF,Swansea City,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3894,54,south-korea,Son Heung-min ( captain ),son-heung-min-captain,FW,Los Angeles FC,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3896,54,south-korea,Oh Hyeon-gyu,oh-hyeon-gyu,FW,Beşiktaş,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3898,57,bosnia-and-herzegovina,Martin Zlomislić,martin-zlomislic,GK,Rijeka,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3900,57,bosnia-and-herzegovina,Sead Kolašinac,sead-kolasinac,DF,Atalanta,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3902,57,bosnia-and-herzegovina,Amar Dedić,amar-dedic,DF,Benfica,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3904,57,bosnia-and-herzegovina,Tarik Muharemović,tarik-muharemovic,DF,Sassuolo,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3906,57,bosnia-and-herzegovina,Stjepan Radeljić,stjepan-radeljic,DF,Rijeka,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3908,57,bosnia-and-herzegovina,Amir Hadžiahmetović,amir-hadziahmetovic,MF,Hull City,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3910,57,bosnia-and-herzegovina,Armin Gigović,armin-gigovic,MF,Young Boys,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3912,57,bosnia-and-herzegovina,Ivan Bašić,ivan-basic,MF,Astana,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3914,57,bosnia-and-herzegovina,Amar Memić,amar-memic,MF,Viktoria Plzeň,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3916,57,bosnia-and-herzegovina,Kerim Alajbegović,kerim-alajbegovic,MF,Red Bull Salzburg,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3918,57,bosnia-and-herzegovina,Edin Džeko ( captain ),edin-dzeko-captain,FW,Schalke 04,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3920,57,bosnia-and-herzegovina,Samed Baždar,samed-bazdar,FW,Jagiellonia Białystok,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3922,57,bosnia-and-herzegovina,Jovo Lukić,jovo-lukic,FW,Universitatea Cluj,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3924,41,qatar,Salah Zakaria,salah-zakaria,GK,Al-Duhail,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3926,41,qatar,Shehab Ellethy,shehab-ellethy,GK,Al-Shahaniya,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3928,41,qatar,Pedro Miguel,pedro-miguel,DF,Al-Sadd,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3930,41,qatar,Bassam Al-Rawi,bassam-al-rawi,DF,Al-Duhail,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3932,41,qatar,Lucas Mendes,lucas-mendes,DF,Al-Wakrah,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3934,41,qatar,Al-Hashmi Al-Hussain,al-hashmi-al-hussain,DF,Al-Arabi,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3936,41,qatar,Issa Laye,issa-laye,DF,Al-Arabi,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3938,41,qatar,Niall Mason,niall-mason,DF,Qatar SC,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3940,41,qatar,Karim Boudiaf,karim-boudiaf,MF,Al-Duhail,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3942,41,qatar,Mohammed Waad,mohammed-waad,MF,Al-Shamal,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3944,41,qatar,Jassem Gaber,jassem-gaber,MF,Al-Rayyan,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3946,41,qatar,Tahsin Jamshid,tahsin-jamshid,MF,Al-Duhail,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3948,41,qatar,Sebastián Soria,sebastian-soria,FW,Qatar SC,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3950,41,qatar,Almoez Ali,almoez-ali,FW,Al-Duhail,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3952,41,qatar,Ahmed Alaaeldin,ahmed-alaaeldin,FW,Al-Rayyan,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3954,41,qatar,Edmilson Junior,edmilson-junior,FW,Al-Duhail,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3956,41,qatar,Mubarak Shanan,mubarak-shanan,FW,Al-Duhail,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3958,60,brazil,Ederson,ederson,GK,Fenerbahçe,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3960,60,brazil,Hugo Souza,hugo-souza,GK,Corinthians,Brazil,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
